Oct. 26, 2023   15:07:46
-0.103, 9.570e-8
-0.104, 9.738e-8
-0.105, 9.807e-8
-0.106, 9.841e-8
-0.107, 9.838e-8
-0.108, 9.933e-8
-0.109, 1.000e-7
-0.110, 1.000e-7
-0.111, 1.005e-7
-0.112, 1.009e-7
-0.113, 1.012e-7
-0.114, 1.017e-7
-0.115, 1.022e-7
-0.116, 1.025e-7
-0.117, 1.040e-7
-0.118, 1.030e-7
-0.119, 1.032e-7
-0.120, 1.044e-7
-0.121, 1.046e-7
-0.122, 1.047e-7
-0.123, 1.053e-7
-0.124, 1.059e-7
-0.125, 1.056e-7
-0.126, 1.061e-7
-0.127, 1.069e-7
-0.128, 1.071e-7
-0.129, 1.073e-7
-0.130, 1.080e-7
-0.131, 1.077e-7
-0.132, 1.078e-7
-0.133, 1.091e-7
-0.134, 1.082e-7
-0.135, 1.087e-7
-0.136, 1.093e-7
-0.137, 1.101e-7
-0.138, 1.101e-7
-0.139, 1.099e-7
-0.140, 1.105e-7
-0.141, 1.102e-7
-0.142, 1.111e-7
-0.143, 1.113e-7
-0.144, 1.111e-7
-0.145, 1.117e-7
-0.146, 1.127e-7
-0.147, 1.121e-7
-0.148, 1.121e-7
-0.149, 1.133e-7
-0.150, 1.139e-7
-0.151, 1.130e-7
-0.152, 1.138e-7
-0.153, 1.144e-7
-0.154, 1.136e-7
-0.155, 1.149e-7
-0.156, 1.156e-7
-0.157, 1.155e-7
-0.158, 1.160e-7
-0.159, 1.163e-7
-0.160, 1.165e-7
-0.161, 1.168e-7
-0.162, 1.174e-7
-0.163, 1.175e-7
-0.164, 1.173e-7
-0.165, 1.184e-7
-0.166, 1.173e-7
-0.167, 1.171e-7
-0.168, 1.187e-7
-0.169, 1.191e-7
-0.170, 1.191e-7
-0.171, 1.195e-7
-0.172, 1.195e-7
-0.173, 1.199e-7
-0.174, 1.196e-7
-0.175, 1.202e-7
-0.176, 1.203e-7
-0.177, 1.203e-7
-0.178, 1.215e-7
-0.179, 1.217e-7
-0.180, 1.215e-7
-0.181, 1.219e-7
-0.182, 1.223e-7
-0.183, 1.231e-7
-0.184, 1.225e-7
-0.185, 1.225e-7
-0.186, 1.228e-7
-0.187, 1.228e-7
-0.188, 1.225e-7
-0.189, 1.230e-7
-0.190, 1.238e-7
-0.191, 1.242e-7
-0.192, 1.239e-7
-0.193, 1.241e-7
-0.194, 1.254e-7
-0.195, 1.246e-7
-0.196, 1.247e-7
-0.197, 1.261e-7
-0.198, 1.253e-7
-0.199, 1.257e-7
-0.200, 1.263e-7
-0.201, 1.260e-7
-0.202, 1.270e-7
-0.203, 1.270e-7
-0.204, 1.271e-7
-0.205, 1.265e-7
-0.206, 1.273e-7
-0.207, 1.283e-7
-0.208, 1.278e-7
-0.209, 1.273e-7
-0.210, 1.287e-7
-0.211, 1.284e-7
-0.212, 1.284e-7
-0.213, 1.290e-7
-0.214, 1.285e-7
-0.215, 1.287e-7
-0.216, 1.305e-7
-0.217, 1.289e-7
-0.218, 1.285e-7
-0.219, 1.296e-7
-0.220, 1.298e-7
-0.221, 1.298e-7
-0.222, 1.305e-7
-0.223, 1.310e-7
-0.224, 1.302e-7
-0.225, 1.307e-7
-0.226, 1.315e-7
-0.227, 1.312e-7
-0.228, 1.306e-7
-0.229, 1.325e-7
-0.230, 1.322e-7
-0.231, 1.318e-7
-0.232, 1.322e-7
-0.233, 1.316e-7
-0.234, 1.317e-7
-0.235, 1.316e-7
-0.236, 1.318e-7
-0.237, 1.316e-7
-0.238, 1.313e-7
-0.239, 1.318e-7
-0.240, 1.326e-7
-0.241, 1.321e-7
-0.242, 1.332e-7
-0.243, 1.324e-7
-0.244, 1.323e-7
-0.245, 1.343e-7
-0.246, 1.341e-7
-0.247, 1.341e-7
-0.248, 1.346e-7
-0.249, 1.339e-7
-0.250, 1.344e-7
-0.251, 1.347e-7
-0.252, 1.350e-7
-0.253, 1.352e-7
-0.254, 1.358e-7
-0.255, 1.364e-7
-0.256, 1.355e-7
-0.257, 1.356e-7
-0.258, 1.370e-7
-0.259, 1.371e-7
-0.260, 1.370e-7
-0.261, 1.381e-7
-0.262, 1.373e-7
-0.263, 1.374e-7
-0.264, 1.386e-7
-0.265, 1.382e-7
-0.266, 1.380e-7
-0.267, 1.391e-7
-0.268, 1.392e-7
-0.269, 1.385e-7
-0.270, 1.390e-7
-0.271, 1.395e-7
-0.272, 1.394e-7
-0.273, 1.393e-7
-0.274, 1.398e-7
-0.275, 1.395e-7
-0.276, 1.397e-7
-0.277, 1.407e-7
-0.278, 1.401e-7
-0.279, 1.401e-7
-0.280, 1.405e-7
-0.281, 1.411e-7
-0.282, 1.419e-7
-0.283, 1.415e-7
-0.284, 1.418e-7
-0.285, 1.420e-7
-0.286, 1.426e-7
-0.287, 1.430e-7
-0.288, 1.427e-7
-0.289, 1.429e-7
-0.290, 1.425e-7
-0.291, 1.428e-7
-0.292, 1.417e-7
-0.293, 1.437e-7
-0.294, 1.425e-7
-0.295, 1.432e-7
-0.296, 1.439e-7
-0.297, 1.442e-7
-0.298, 1.441e-7
-0.299, 1.442e-7
-0.300, 1.445e-7
-0.301, 1.443e-7
-0.302, 1.446e-7
-0.303, 1.449e-7
-0.304, 1.453e-7
-0.305, 1.453e-7
-0.306, 1.457e-7
-0.307, 1.446e-7
-0.308, 1.449e-7
-0.309, 1.462e-7
-0.310, 1.458e-7
-0.311, 1.459e-7
-0.312, 1.467e-7
-0.313, 1.463e-7
-0.314, 1.467e-7
-0.315, 1.475e-7
-0.316, 1.470e-7
-0.317, 1.470e-7
-0.318, 1.475e-7
-0.319, 1.481e-7
-0.320, 1.470e-7
-0.321, 1.469e-7
-0.322, 1.484e-7
-0.323, 1.474e-7
-0.324, 1.487e-7
-0.325, 1.489e-7
-0.326, 1.488e-7
-0.327, 1.491e-7
-0.328, 1.495e-7
-0.329, 1.489e-7
-0.330, 1.490e-7
-0.331, 1.503e-7
-0.332, 1.501e-7
-0.333, 1.502e-7
-0.334, 1.507e-7
-0.335, 1.505e-7
-0.336, 1.501e-7
-0.337, 1.501e-7
-0.338, 1.510e-7
-0.339, 1.505e-7
-0.340, 1.506e-7
-0.341, 1.517e-7
-0.342, 1.522e-7
-0.343, 1.521e-7
-0.344, 1.529e-7
-0.345, 1.522e-7
-0.346, 1.517e-7
-0.347, 1.525e-7
-0.348, 1.526e-7
-0.349, 1.525e-7
-0.350, 1.529e-7
-0.351, 1.532e-7
-0.352, 1.530e-7
-0.353, 1.533e-7
-0.354, 1.550e-7
-0.355, 1.541e-7
-0.356, 1.537e-7
-0.357, 1.551e-7
-0.358, 1.540e-7
-0.359, 1.543e-7
-0.360, 1.555e-7
-0.361, 1.549e-7
-0.362, 1.557e-7
-0.363, 1.545e-7
-0.364, 1.549e-7
-0.365, 1.560e-7
-0.366, 1.561e-7
-0.367, 1.564e-7
-0.368, 1.556e-7
-0.369, 1.562e-7
-0.370, 1.567e-7
-0.371, 1.564e-7
-0.372, 1.562e-7
-0.373, 1.573e-7
-0.374, 1.572e-7
-0.375, 1.575e-7
-0.376, 1.580e-7
-0.377, 1.578e-7
-0.378, 1.582e-7
-0.379, 1.578e-7
-0.380, 1.568e-7
-0.381, 1.587e-7
-0.382, 1.592e-7
-0.383, 1.585e-7
-0.384, 1.600e-7
-0.385, 1.588e-7
-0.386, 1.592e-7
-0.387, 1.595e-7
-0.388, 1.586e-7
-0.389, 1.598e-7
-0.390, 1.602e-7
-0.391, 1.592e-7
-0.392, 1.604e-7
-0.393, 1.602e-7
-0.394, 1.604e-7
-0.395, 1.606e-7
-0.396, 1.601e-7
-0.397, 1.602e-7
-0.398, 1.604e-7
-0.399, 1.604e-7
-0.400, 1.606e-7
-0.401, 1.609e-7
-0.402, 1.614e-7
-0.403, 1.611e-7
-0.404, 1.613e-7
-0.405, 1.623e-7
-0.406, 1.616e-7
-0.407, 1.616e-7
-0.408, 1.626e-7
-0.409, 1.625e-7
-0.410, 1.628e-7
-0.411, 1.635e-7
-0.412, 1.629e-7
-0.413, 1.627e-7
-0.414, 1.633e-7
-0.415, 1.628e-7
-0.416, 1.629e-7
-0.417, 1.634e-7
-0.418, 1.639e-7
-0.419, 1.641e-7
-0.420, 1.634e-7
-0.421, 1.643e-7
-0.422, 1.643e-7
-0.423, 1.642e-7
-0.424, 1.648e-7
-0.425, 1.639e-7
-0.426, 1.648e-7
-0.427, 1.654e-7
-0.428, 1.651e-7
-0.429, 1.650e-7
-0.430, 1.659e-7
-0.431, 1.665e-7
-0.432, 1.665e-7
-0.433, 1.656e-7
-0.434, 1.664e-7
-0.435, 1.669e-7
-0.436, 1.665e-7
-0.437, 1.671e-7
-0.438, 1.669e-7
-0.439, 1.668e-7
-0.440, 1.677e-7
-0.441, 1.668e-7
-0.442, 1.671e-7
-0.443, 1.689e-7
-0.444, 1.686e-7
-0.445, 1.676e-7
-0.446, 1.678e-7
-0.447, 1.686e-7
-0.448, 1.677e-7
-0.449, 1.679e-7
-0.450, 1.693e-7
-0.451, 1.689e-7
-0.452, 1.687e-7
-0.453, 1.688e-7
-0.454, 1.692e-7
-0.455, 1.698e-7
-0.456, 1.695e-7
-0.457, 1.697e-7
-0.458, 1.698e-7
-0.459, 1.697e-7
-0.460, 1.703e-7
-0.461, 1.697e-7
-0.462, 1.702e-7
-0.463, 1.705e-7
-0.464, 1.711e-7
-0.465, 1.703e-7
-0.466, 1.717e-7
-0.467, 1.710e-7
-0.468, 1.710e-7
-0.469, 1.726e-7
-0.470, 1.715e-7
-0.471, 1.722e-7
-0.472, 1.721e-7
-0.473, 1.719e-7
-0.474, 1.710e-7
-0.475, 1.727e-7
-0.476, 1.732e-7
-0.477, 1.725e-7
-0.478, 1.733e-7
-0.479, 1.735e-7
-0.480, 1.727e-7
-0.481, 1.723e-7
-0.482, 1.739e-7
-0.483, 1.733e-7
-0.484, 1.731e-7
-0.485, 1.743e-7
-0.486, 1.751e-7
-0.487, 1.741e-7
-0.488, 1.745e-7
-0.489, 1.747e-7
-0.490, 1.749e-7
-0.491, 1.751e-7
-0.492, 1.749e-7
-0.493, 1.749e-7
-0.494, 1.750e-7
-0.495, 1.752e-7
-0.496, 1.753e-7
-0.497, 1.750e-7
-0.498, 1.768e-7
-0.499, 1.756e-7
-0.500, 1.752e-7
-0.501, 1.762e-7
-0.502, 1.766e-7
-0.503, 1.769e-7
-0.504, 1.767e-7
-0.505, 1.767e-7
-0.506, 1.766e-7
-0.507, 1.781e-7
-0.508, 1.774e-7
-0.509, 1.773e-7
-0.510, 1.768e-7
-0.511, 1.774e-7
-0.512, 1.768e-7
-0.513, 1.772e-7
-0.514, 1.780e-7
-0.515, 1.780e-7
-0.516, 1.780e-7
-0.517, 1.791e-7
-0.518, 1.792e-7
-0.519, 1.792e-7
-0.520, 1.790e-7
-0.521, 1.796e-7
-0.522, 1.795e-7
-0.523, 1.790e-7
-0.524, 1.796e-7
-0.525, 1.789e-7
-0.526, 1.787e-7
-0.527, 1.806e-7
-0.528, 1.802e-7
-0.529, 1.805e-7
-0.530, 1.804e-7
-0.531, 1.817e-7
-0.532, 1.799e-7
-0.533, 1.816e-7
-0.534, 1.813e-7
-0.535, 1.807e-7
-0.536, 1.818e-7
-0.537, 1.813e-7
-0.538, 1.817e-7
-0.539, 1.825e-7
-0.540, 1.819e-7
-0.541, 1.826e-7
-0.542, 1.816e-7
-0.543, 1.828e-7
-0.544, 1.825e-7
-0.545, 1.821e-7
-0.546, 1.833e-7
-0.547, 1.828e-7
-0.548, 1.828e-7
-0.549, 1.844e-7
-0.550, 1.831e-7
-0.551, 1.824e-7
-0.552, 1.843e-7
-0.553, 1.834e-7
-0.554, 1.837e-7
-0.555, 1.845e-7
-0.556, 1.847e-7
-0.557, 1.841e-7
-0.558, 1.845e-7
-0.559, 1.854e-7
-0.560, 1.855e-7
-0.561, 1.846e-7
-0.562, 1.858e-7
-0.563, 1.848e-7
-0.564, 1.842e-7
-0.565, 1.864e-7
-0.566, 1.853e-7
-0.567, 1.861e-7
-0.568, 1.856e-7
-0.569, 1.857e-7
-0.570, 1.864e-7
-0.571, 1.863e-7
-0.572, 1.865e-7
-0.573, 1.863e-7
-0.574, 1.869e-7
-0.575, 1.875e-7
-0.576, 1.861e-7
-0.577, 1.873e-7
-0.578, 1.873e-7
-0.579, 1.879e-7
-0.580, 1.878e-7
-0.581, 1.887e-7
-0.582, 1.872e-7
-0.583, 1.875e-7
-0.584, 1.887e-7
-0.585, 1.889e-7
-0.586, 1.888e-7
-0.587, 1.885e-7
-0.588, 1.891e-7
-0.589, 1.897e-7
-0.590, 1.896e-7
-0.591, 1.889e-7
-0.592, 1.894e-7
-0.593, 1.894e-7
-0.594, 1.902e-7
-0.595, 1.893e-7
-0.596, 1.900e-7
-0.597, 1.904e-7
-0.598, 1.898e-7
-0.599, 1.900e-7
-0.600, 1.909e-7
-0.601, 1.913e-7
-0.602, 1.904e-7
-0.603, 1.918e-7
-0.604, 1.917e-7
-0.605, 1.914e-7
-0.606, 1.910e-7
-0.607, 1.923e-7
-0.608, 1.918e-7
-0.609, 1.912e-7
-0.610, 1.929e-7
-0.611, 1.934e-7
-0.612, 1.919e-7
-0.613, 1.931e-7
-0.614, 1.923e-7
-0.615, 1.917e-7
-0.616, 1.933e-7
-0.617, 1.923e-7
-0.618, 1.929e-7
-0.619, 1.931e-7
-0.620, 1.936e-7
-0.621, 1.941e-7
-0.622, 1.936e-7
-0.623, 1.948e-7
-0.624, 1.943e-7
-0.625, 1.938e-7
-0.626, 1.946e-7
-0.627, 1.945e-7
-0.628, 1.941e-7
-0.629, 1.948e-7
-0.630, 1.957e-7
-0.631, 1.955e-7
-0.632, 1.967e-7
-0.633, 1.951e-7
-0.634, 1.947e-7
-0.635, 1.958e-7
-0.636, 1.962e-7
-0.637, 1.962e-7
-0.638, 1.961e-7
-0.639, 1.964e-7
-0.640, 1.975e-7
-0.641, 1.958e-7
-0.642, 1.978e-7
-0.643, 1.966e-7
-0.644, 1.965e-7
-0.645, 1.975e-7
-0.646, 1.970e-7
-0.647, 1.975e-7
-0.648, 1.982e-7
-0.649, 1.974e-7
-0.650, 1.986e-7
-0.651, 1.983e-7
-0.652, 1.983e-7
-0.653, 1.977e-7
-0.654, 1.983e-7
-0.655, 1.991e-7
-0.656, 1.984e-7
-0.657, 1.983e-7
-0.658, 1.994e-7
-0.659, 1.987e-7
-0.660, 1.991e-7
-0.661, 2.004e-7
-0.662, 1.997e-7
-0.663, 2.000e-7
-0.664, 2.002e-7
-0.665, 2.001e-7
-0.666, 1.987e-7
-0.667, 2.001e-7
-0.668, 2.010e-7
-0.669, 2.007e-7
-0.670, 2.003e-7
-0.671, 2.018e-7
-0.672, 2.015e-7
-0.673, 2.011e-7
-0.674, 2.021e-7
-0.675, 2.018e-7
-0.676, 2.010e-7
-0.677, 2.024e-7
-0.678, 2.023e-7
-0.679, 2.024e-7
-0.680, 2.017e-7
-0.681, 2.026e-7
-0.682, 2.023e-7
-0.683, 2.028e-7
-0.684, 2.037e-7
-0.685, 2.028e-7
-0.686, 2.031e-7
-0.687, 2.041e-7
-0.688, 2.036e-7
-0.689, 2.032e-7
-0.690, 2.044e-7
-0.691, 2.043e-7
-0.692, 2.039e-7
-0.693, 2.048e-7
-0.694, 2.047e-7
-0.695, 2.047e-7
-0.696, 2.052e-7
-0.697, 2.037e-7
-0.698, 2.040e-7
-0.699, 2.058e-7
-0.700, 2.055e-7
-0.701, 2.051e-7
-0.702, 2.047e-7
-0.703, 2.059e-7
-0.704, 2.057e-7
-0.705, 2.062e-7
-0.706, 2.076e-7
-0.707, 2.061e-7
-0.708, 2.058e-7
-0.709, 2.073e-7
-0.710, 2.069e-7
-0.711, 2.068e-7
-0.712, 2.076e-7
-0.713, 2.076e-7
-0.714, 2.067e-7
-0.715, 2.074e-7
-0.716, 2.080e-7
-0.717, 2.064e-7
-0.718, 2.076e-7
-0.719, 2.084e-7
-0.720, 2.086e-7
-0.721, 2.090e-7
-0.722, 2.087e-7
-0.723, 2.087e-7
-0.724, 2.093e-7
-0.725, 2.102e-7
-0.726, 2.087e-7
-0.727, 2.095e-7
-0.728, 2.105e-7
-0.729, 2.105e-7
-0.730, 2.097e-7
-0.731, 2.099e-7
-0.732, 2.106e-7
-0.733, 2.104e-7
-0.734, 2.107e-7
-0.735, 2.118e-7
-0.736, 2.106e-7
-0.737, 2.108e-7
-0.738, 2.127e-7
-0.739, 2.110e-7
-0.740, 2.117e-7
-0.741, 2.123e-7
-0.742, 2.122e-7
-0.743, 2.124e-7
-0.744, 2.134e-7
-0.745, 2.119e-7
-0.746, 2.135e-7
-0.747, 2.127e-7
-0.748, 2.132e-7
-0.749, 2.129e-7
-0.750, 2.130e-7
-0.751, 2.139e-7
-0.752, 2.134e-7
-0.753, 2.141e-7
-0.754, 2.151e-7
-0.755, 2.139e-7
-0.756, 2.138e-7
-0.757, 2.154e-7
-0.758, 2.146e-7
-0.759, 2.146e-7
-0.760, 2.161e-7
-0.761, 2.153e-7
-0.762, 2.156e-7
-0.763, 2.155e-7
-0.764, 2.162e-7
-0.765, 2.163e-7
-0.766, 2.160e-7
-0.767, 2.166e-7
-0.768, 2.158e-7
-0.769, 2.164e-7
-0.770, 2.173e-7
-0.771, 2.173e-7
-0.772, 2.168e-7
-0.773, 2.186e-7
-0.774, 2.178e-7
-0.775, 2.176e-7
-0.776, 2.183e-7
-0.777, 2.184e-7
-0.778, 2.182e-7
-0.779, 2.187e-7
-0.780, 2.191e-7
-0.781, 2.191e-7
-0.782, 2.189e-7
-0.783, 2.196e-7
-0.784, 2.199e-7
-0.785, 2.201e-7
-0.786, 2.200e-7
-0.787, 2.203e-7
-0.788, 2.211e-7
-0.789, 2.209e-7
-0.790, 2.199e-7
-0.791, 2.205e-7
-0.792, 2.215e-7
-0.793, 2.212e-7
-0.794, 2.232e-7
-0.795, 2.224e-7
-0.796, 2.217e-7
-0.797, 2.228e-7
-0.798, 2.232e-7
-0.799, 2.234e-7
-0.800, 2.228e-7
-0.801, 2.227e-7
-0.802, 2.234e-7
-0.803, 2.237e-7
-0.804, 2.236e-7
-0.805, 2.243e-7
-0.806, 2.239e-7
-0.807, 2.236e-7
-0.808, 2.246e-7
-0.809, 2.246e-7
-0.810, 2.252e-7
-0.811, 2.262e-7
-0.812, 2.256e-7
-0.813, 2.254e-7
-0.814, 2.260e-7
-0.815, 2.262e-7
-0.816, 2.253e-7
-0.817, 2.258e-7
-0.818, 2.275e-7
-0.819, 2.287e-7
-0.820, 2.282e-7
-0.821, 2.286e-7
-0.822, 2.274e-7
-0.823, 2.278e-7
-0.824, 2.288e-7
-0.825, 2.282e-7
-0.826, 2.285e-7
-0.827, 2.291e-7
-0.828, 2.296e-7
-0.829, 2.292e-7
-0.830, 2.296e-7
-0.831, 2.289e-7
-0.832, 2.301e-7
-0.833, 2.295e-7
-0.834, 2.294e-7
-0.835, 2.308e-7
-0.836, 2.304e-7
-0.837, 2.311e-7
-0.838, 2.310e-7
-0.839, 2.314e-7
-0.840, 2.308e-7
-0.841, 2.318e-7
-0.842, 2.318e-7
-0.843, 2.325e-7
-0.844, 2.324e-7
-0.845, 2.331e-7
-0.846, 2.319e-7
-0.847, 2.327e-7
-0.848, 2.329e-7
-0.849, 2.329e-7
-0.850, 2.342e-7
-0.851, 2.335e-7
-0.852, 2.331e-7
-0.853, 2.338e-7
-0.854, 2.335e-7
-0.855, 2.347e-7
-0.856, 2.340e-7
-0.857, 2.347e-7
-0.858, 2.346e-7
-0.859, 2.347e-7
-0.860, 2.351e-7
-0.861, 2.358e-7
-0.862, 2.358e-7
-0.863, 2.352e-7
-0.864, 2.361e-7
-0.865, 2.359e-7
-0.866, 2.372e-7
-0.867, 2.353e-7
-0.868, 2.359e-7
-0.869, 2.369e-7
-0.870, 2.365e-7
-0.871, 2.354e-7
-0.872, 2.377e-7
-0.873, 2.369e-7
-0.874, 2.368e-7
-0.875, 2.385e-7
-0.876, 2.377e-7
-0.877, 2.374e-7
-0.878, 2.384e-7
-0.879, 2.391e-7
-0.880, 2.387e-7
-0.881, 2.386e-7
-0.882, 2.391e-7
-0.883, 2.390e-7
-0.884, 2.389e-7
-0.885, 2.398e-7
-0.886, 2.388e-7
-0.887, 2.389e-7
-0.888, 2.401e-7
-0.889, 2.392e-7
-0.890, 2.401e-7
-0.891, 2.405e-7
-0.892, 2.402e-7
-0.893, 2.404e-7
-0.894, 2.405e-7
-0.895, 2.412e-7
-0.896, 2.426e-7
-0.897, 2.412e-7
-0.898, 2.413e-7
-0.899, 2.414e-7
-0.900, 2.407e-7
-0.901, 2.430e-7
-0.902, 2.418e-7
-0.903, 2.423e-7
-0.904, 2.426e-7
-0.905, 2.422e-7
-0.906, 2.423e-7
-0.907, 2.432e-7
-0.908, 2.422e-7
-0.909, 2.424e-7
-0.910, 2.421e-7
-0.911, 2.432e-7
-0.912, 2.439e-7
-0.913, 2.428e-7
-0.914, 2.435e-7
-0.915, 2.424e-7
-0.916, 2.428e-7
-0.917, 2.442e-7
-0.918, 2.427e-7
-0.919, 2.439e-7
-0.920, 2.445e-7
-0.921, 2.440e-7
-0.922, 2.427e-7
-0.923, 2.446e-7
-0.924, 2.447e-7
-0.925, 2.446e-7
-0.926, 2.445e-7
-0.927, 2.450e-7
-0.928, 2.449e-7
-0.929, 2.445e-7
-0.930, 2.457e-7
-0.931, 2.452e-7
-0.932, 2.452e-7
-0.933, 2.469e-7
-0.934, 2.458e-7
-0.935, 2.452e-7
-0.936, 2.462e-7
-0.937, 2.465e-7
-0.938, 2.457e-7
-0.939, 2.467e-7
-0.940, 2.467e-7
-0.941, 2.465e-7
-0.942, 2.465e-7
-0.943, 2.467e-7
-0.944, 2.476e-7
-0.945, 2.468e-7
-0.946, 2.469e-7
-0.947, 2.480e-7
-0.948, 2.468e-7
-0.949, 2.479e-7
-0.950, 2.481e-7
-0.951, 2.476e-7
-0.952, 2.480e-7
-0.953, 2.486e-7
-0.954, 2.469e-7
-0.955, 2.486e-7
-0.956, 2.481e-7
-0.957, 2.488e-7
-0.958, 2.483e-7
-0.959, 2.495e-7
-0.960, 2.495e-7
-0.961, 2.484e-7
-0.962, 2.488e-7
-0.963, 2.489e-7
-0.964, 2.486e-7
-0.965, 2.493e-7
-0.966, 2.497e-7
-0.967, 2.490e-7
-0.968, 2.492e-7
-0.969, 2.493e-7
-0.970, 2.503e-7
-0.971, 2.511e-7
-0.972, 2.497e-7
-0.973, 2.495e-7
-0.974, 2.496e-7
-0.975, 2.501e-7
-0.976, 2.506e-7
-0.977, 2.503e-7
-0.978, 2.516e-7
-0.979, 2.508e-7
-0.980, 2.503e-7
-0.981, 2.516e-7
-0.982, 2.511e-7
-0.983, 2.515e-7
-0.984, 2.518e-7
-0.985, 2.507e-7
-0.986, 2.512e-7
-0.987, 2.526e-7
-0.988, 2.517e-7
-0.989, 2.517e-7
-0.990, 2.521e-7
-0.991, 2.523e-7
-0.992, 2.529e-7
-0.993, 2.517e-7
-0.994, 2.524e-7
-0.995, 2.533e-7
-0.996, 2.523e-7
-0.997, 2.534e-7
-0.998, 2.529e-7
-0.999, 2.536e-7
-1.000, 2.532e-7
-1.001, 2.535e-7
-1.002, 2.530e-7
-1.003, 2.548e-7
-1.004, 2.536e-7
-1.005, 2.528e-7
-1.006, 2.532e-7
-1.007, 2.542e-7
-1.008, 2.546e-7
-1.009, 2.540e-7
-1.010, 2.550e-7
-1.011, 2.544e-7
-1.012, 2.538e-7
-1.013, 2.554e-7
-1.014, 2.545e-7
-1.015, 2.544e-7
-1.016, 2.550e-7
-1.017, 2.541e-7
-1.018, 2.556e-7
-1.019, 2.550e-7
-1.020, 2.558e-7
-1.021, 2.556e-7
-1.022, 2.557e-7
-1.023, 2.559e-7
-1.024, 2.552e-7
-1.025, 2.556e-7
-1.026, 2.561e-7
-1.027, 2.556e-7
-1.028, 2.559e-7
-1.029, 2.567e-7
-1.030, 2.565e-7
-1.031, 2.566e-7
-1.032, 2.572e-7
-1.033, 2.571e-7
-1.034, 2.567e-7
-1.035, 2.569e-7
-1.036, 2.576e-7
-1.037, 2.563e-7
-1.038, 2.567e-7
-1.039, 2.580e-7
-1.040, 2.571e-7
-1.041, 2.584e-7
-1.042, 2.584e-7
-1.043, 2.586e-7
-1.044, 2.571e-7
-1.045, 2.587e-7
-1.046, 2.580e-7
-1.047, 2.574e-7
-1.048, 2.588e-7
-1.049, 2.582e-7
-1.050, 2.592e-7
-1.051, 2.588e-7
-1.052, 2.593e-7
-1.053, 2.592e-7
-1.054, 2.588e-7
-1.055, 2.591e-7
-1.056, 2.590e-7
-1.057, 2.592e-7
-1.058, 2.610e-7
-1.059, 2.592e-7
-1.060, 2.595e-7
-1.061, 2.599e-7
-1.062, 2.597e-7
-1.063, 2.597e-7
